INFO  - 2014-10-19 11:11:22.335; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-10-19 11:11:22.349; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\contexts at interval 0
INFO  - 2014-10-19 11:11:22.354; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\contexts\solr-jetty-context.xml
INFO  - 2014-10-19 11:11:22.391; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/example/webapps/solr.war!/ to C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr-webapp\webapp
INFO  - 2014-10-19 11:11:25.463; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-10-19 11:11:25.501; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-10-19 11:11:25.510; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-10-19 11:11:25.511; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-10-19 11:11:25.511; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-10-19 11:11:25.590; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\solr.xml
INFO  - 2014-10-19 11:11:25.632; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr
INFO  - 2014-10-19 11:11:25.638; org.apache.solr.core.CoreContainer; New CoreContainer 375457936
INFO  - 2014-10-19 11:11:25.638; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-10-19 11:11:25.647; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-10-19 11:11:25.647; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-10-19 11:11:25.650; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-10-19 11:11:25.652; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-10-19 11:11:25.652; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-10-19 11:11:25.653; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-10-19 11:11:25.653; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-10-19 11:11:25.653; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-10-19 11:11:25.653; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-10-19 11:11:25.749; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-10-19 11:11:25.750; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-10-19 11:11:25.751; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-10-19 11:11:25.752; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-10-19 11:11:25.786; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr
INFO  - 2014-10-19 11:11:25.792; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\
INFO  - 2014-10-19 11:11:25.793; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-10-19 11:11:25.794; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\Users\Andi\Documents\InfRetrieval\solr-4.10.1\solr-4.10.1\example\solr\collection1\'
INFO  - 2014-10-19 11:11:25.838; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-10-19 11:11:25.840; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-10-19 11:11:25.840; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-10-19 11:11:25.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-10-19 11:11:25.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-10-19 11:11:25.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-10-19 11:11:25.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2014-10-19 11:11:25.843; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2014-10-19 11:11:25.843; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.844; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2014-10-19 11:11:25.844; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.845; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-10-19 11:11:25.845; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-10-19 11:11:25.846; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2014-10-19 11:11:25.846; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2014-10-19 11:11:25.847; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-10-19 11:11:25.848; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-10-19 11:11:25.848; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2014-10-19 11:11:25.849; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.849; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.850; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.850; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.850; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-10-19 11:11:25.851; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-10-19 11:11:25.852; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2014-10-19 11:11:25.852; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Andi/Documents/InfRetrieval/solr-4.10.1/solr-4.10.1/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
